iter,elapsed_sec,avg_iter_sec,eta_target_sec,total_est_sec
633,513.04,0.8105,80536.63,81049.67
634,513.72,0.8103,80515.24,81028.97
635,514.37,0.8100,80488.67,81003.04
636,515.00,0.8098,80460.51,80975.52
637,516.27,0.8105,80531.48,81047.76
638,516.92,0.8102,80505.67,81022.60
639,517.57,0.8100,80479.47,80997.04
640,518.23,0.8097,80455.45,80973.68
641,519.49,0.8104,80524.92,81044.41
642,520.14,0.8102,80498.88,81019.02
643,520.80,0.8100,80475.16,80995.96
644,521.45,0.8097,80449.67,80971.12
645,522.74,0.8104,80521.94,81044.68
646,523.38,0.8102,80495.43,81018.81
647,524.02,0.8099,80468.85,80992.88
648,524.67,0.8097,80442.98,80967.65
649,525.93,0.8104,80510.91,81036.84
650,526.59,0.8101,80487.03,81013.62
651,527.22,0.8099,80459.53,80986.75
652,527.88,0.8096,80434.78,80962.66
653,529.17,0.8104,80507.12,81036.28
654,529.83,0.8101,80483.68,81013.51
655,530.48,0.8099,80459.45,80989.94
656,531.12,0.8096,80432.31,80963.43
657,532.37,0.8103,80498.61,81030.98
658,533.03,0.8101,80474.09,81007.11
659,533.67,0.8098,80448.66,80982.33
