iter,elapsed_sec,avg_iter_sec,eta_target_sec,total_est_sec
13762,356.52,0.0259,2234.07,2590.58
13763,357.35,0.0260,2239.10,2596.45
13764,358.14,0.0260,2243.89,2602.03
13765,358.93,0.0261,2248.65,2607.59
13766,360.29,0.0262,2256.97,2617.26
13767,361.07,0.0262,2261.62,2622.69
13768,361.84,0.0263,2266.29,2628.13
13769,362.65,0.0263,2271.14,2633.79
13770,364.03,0.0264,2279.63,2643.66
13771,364.83,0.0265,2284.44,2649.27
13772,365.59,0.0265,2289.01,2654.60
13773,366.37,0.0266,2293.66,2660.03
13774,367.72,0.0267,2301.98,2669.70
13775,368.54,0.0268,2306.90,2675.45
13776,369.35,0.0268,2311.78,2681.13
13777,370.13,0.0269,2316.46,2686.59
13778,371.52,0.0270,2324.93,2696.44
13779,372.31,0.0270,2329.73,2702.05
13780,373.12,0.0271,2334.57,2707.69
13781,373.89,0.0271,2339.22,2713.12
13782,375.28,0.0272,2347.72,2723.00
13783,376.08,0.0273,2352.49,2728.56
13784,376.85,0.0273,2357.13,2733.98
13785,377.63,0.0274,2361.77,2739.39
13786,379.01,0.0275,2370.24,2749.25
13787,379.81,0.0275,2375.01,2754.82
13788,380.57,0.0276,2379.56,2760.13
13789,381.33,0.0277,2384.14,2765.47
13790,382.73,0.0278,2392.66,2775.39
13791,383.50,0.0278,2397.27,2780.77
13792,384.26,0.0279,2401.82,2786.08
13793,385.01,0.0279,2406.30,2791.31
13794,386.37,0.0280,2414.60,2800.97
13795,387.13,0.0281,2419.20,2806.34
13796,387.92,0.0281,2423.92,2811.85
13797,388.91,0.0282,2429.92,2818.84
13798,391.08,0.0283,2443.27,2834.36
13799,392.57,0.0284,2452.35,2844.92
13800,394.16,0.0286,2462.05,2856.20
13801,395.63,0.0287,2471.04,2866.67
13802,397.72,0.0288,2483.86,2881.58
13803,398.61,0.0289,2489.24,2887.85
13804,399.45,0.0289,2494.29,2893.74
13805,400.84,0.0290,2502.77,2903.61
13806,401.62,0.0291,2507.38,2909.00
13807,402.39,0.0291,2512.00,2914.39
13808,403.16,0.0292,2516.62,2919.78
13809,404.55,0.0293,2525.09,2929.64
13810,405.32,0.0293,2529.63,2934.94
13811,406.10,0.0294,2534.29,2940.39
13812,407.58,0.0295,2543.36,2950.94
13813,409.84,0.0297,2557.22,2967.06
13814,411.40,0.0298,2566.76,2978.17
13815,413.03,0.0299,2576.72,2989.76
13816,414.66,0.0300,2586.67,3001.34
13817,416.84,0.0302,2600.02,3016.86
13818,418.37,0.0303,2609.34,3027.71
13819,419.99,0.0304,2619.22,3039.21
13820,421.65,0.0305,2629.37,3051.02
13821,423.89,0.0307,2643.14,3067.03
13822,425.48,0.0308,2652.81,3078.29
13823,427.19,0.0309,2663.21,3090.40
13824,428.76,0.0310,2672.81,3101.57
13825,430.88,0.0312,2685.82,3116.71
13826,432.36,0.0313,2694.79,3127.15
13827,433.96,0.0314,2704.56,3138.52
13828,435.54,0.0315,2714.13,3149.66
13829,437.43,0.0316,2725.68,3163.10
13830,438.18,0.0317,2730.14,3168.32
13831,438.97,0.0317,2734.87,3173.84
13832,439.78,0.0318,2739.63,3179.41
13833,441.36,0.0319,2749.30,3190.66
13834,442.83,0.0320,2758.22,3201.05
13835,444.48,0.0321,2768.24,3212.72
13836,446.07,0.0322,2777.90,3223.96
13837,448.17,0.0324,2790.76,3238.93
13838,449.62,0.0325,2799.54,3249.16
13839,451.18,0.0326,2809.04,3260.23
13840,452.75,0.0327,2818.54,3271.28
13841,454.95,0.0329,2832.02,3286.97
13842,456.48,0.0330,2841.31,3297.79
13843,458.14,0.0331,2851.38,3309.52
13844,459.75,0.0332,2861.19,3320.94
13845,461.98,0.0334,2874.82,3336.80
13846,463.53,0.0335,2884.25,3347.78
13847,465.21,0.0336,2894.44,3359.65
13848,467.46,0.0338,2908.21,3375.68
13849,469.02,0.0339,2917.65,3386.67
13850,470.66,0.0340,2927.61,3398.27
13851,472.36,0.0341,2937.93,3410.29
13852,474.57,0.0343,2951.45,3426.02
13853,476.08,0.0344,2960.60,3436.68
13854,477.74,0.0345,2970.65,3448.38
13855,479.37,0.0346,2980.53,3459.90
13856,481.62,0.0348,2994.30,3475.93
13857,483.20,0.0349,3003.82,3487.01
13858,484.85,0.0350,3013.86,3498.71
13859,486.50,0.0351,3023.86,3510.36
13860,488.68,0.0353,3037.16,3525.85
13861,490.12,0.0354,3045.85,3535.97
13862,491.69,0.0355,3055.32,3547.00
13863,493.22,0.0356,3064.60,3557.82
13864,495.38,0.0357,3077.77,3573.15
13865,496.85,0.0358,3086.62,3583.47
13866,498.41,0.0359,3096.05,3594.45
13867,499.98,0.0361,3105.59,3605.57
13868,501.89,0.0362,3117.19,3619.09
13869,502.69,0.0362,3121.84,3624.53
13870,503.45,0.0363,3126.32,3629.77
13871,504.21,0.0364,3130.81,3635.03
13872,505.60,0.0364,3139.14,3644.74
13873,506.48,0.0365,3144.33,3650.81
13874,507.97,0.0366,3153.31,3661.28
13875,509.53,0.0367,3162.75,3672.28
13876,511.50,0.0369,3174.73,3686.23
13877,512.25,0.0369,3179.08,3691.33
13878,513.01,0.0370,3183.59,3696.60
13879,513.75,0.0370,3187.87,3701.62
13880,515.11,0.0371,3196.08,3711.19
13881,515.87,0.0372,3200.51,3716.38
13882,516.64,0.0372,3204.99,3721.62
13883,517.38,0.0373,3209.36,3726.74
13884,518.80,0.0374,3217.87,3736.67
13885,519.57,0.0374,3222.36,3741.93
13886,520.31,0.0375,3226.68,3746.99
13887,521.67,0.0376,3234.85,3756.52
13888,522.44,0.0376,3239.38,3761.82
13889,523.21,0.0377,3243.90,3767.11
13890,523.98,0.0377,3248.40,3772.38
13891,525.37,0.0378,3256.70,3782.07
13892,526.13,0.0379,3261.18,3787.31
13893,526.90,0.0379,3265.69,3792.59
13894,527.66,0.0380,3270.12,3797.79
13895,529.00,0.0381,3278.15,3807.16
13896,529.76,0.0381,3282.56,3812.32
13897,530.54,0.0382,3287.13,3817.67
13898,531.31,0.0382,3291.64,3822.96
13899,532.67,0.0383,3299.74,3832.41
13900,533.45,0.0384,3304.35,3837.80
13901,534.24,0.0384,3308.91,3843.15
13902,534.99,0.0385,3313.33,3848.33
13903,536.38,0.0386,3321.64,3858.02
13904,537.16,0.0386,3326.18,3863.34
13905,537.94,0.0387,3330.72,3868.65
13906,538.70,0.0387,3335.16,3873.86
13907,540.07,0.0388,3343.40,3883.47
13908,540.84,0.0389,3347.88,3888.72
13909,541.62,0.0389,3352.41,3894.03
13910,542.38,0.0390,3356.83,3899.21
13911,543.76,0.0391,3365.12,3908.88
13912,544.54,0.0391,3369.65,3914.19
13913,545.35,0.0392,3374.34,3919.68
13914,546.11,0.0392,3378.77,3924.88
13915,547.46,0.0393,3386.85,3934.30
13916,548.24,0.0394,3391.37,3939.61
13917,549.00,0.0394,3395.80,3944.80
13918,549.74,0.0395,3400.14,3949.88
13919,551.13,0.0396,3408.40,3959.52
13920,551.89,0.0396,3412.81,3964.70
13921,552.65,0.0397,3417.27,3969.93
13922,553.38,0.0397,3421.51,3974.89
13923,554.78,0.0398,3429.82,3984.60
13924,555.54,0.0399,3434.29,3989.83
13925,556.30,0.0399,3438.67,3994.97
13926,557.03,0.0400,3442.93,3999.96
13927,558.43,0.0401,3451.24,4009.67
13928,559.21,0.0402,3455.81,4015.02
13929,559.99,0.0402,3460.33,4020.32
13930,561.35,0.0403,3468.47,4029.82
13931,562.11,0.0403,3472.82,4034.93
13932,562.87,0.0404,3477.28,4040.16
13933,563.65,0.0405,3481.75,4045.40
13934,565.02,0.0406,3489.98,4055.01
13935,565.79,0.0406,3494.45,4060.24
13936,566.59,0.0407,3499.05,4065.64
13937,567.37,0.0407,3503.58,4070.95
13938,568.74,0.0408,3511.77,4080.51
13939,569.52,0.0409,3516.28,4085.80
13940,570.28,0.0409,3520.71,4091.00
13941,571.05,0.0410,3525.13,4096.17
13942,572.42,0.0411,3533.28,4105.70
13943,573.20,0.0411,3537.84,4111.04
13944,573.96,0.0412,3542.25,4116.21
13945,574.76,0.0412,3546.86,4121.62
13946,576.18,0.0413,3555.35,4131.54
13947,576.95,0.0414,3559.75,4136.70
13948,577.72,0.0414,3564.21,4141.93
13949,578.50,0.0415,3568.73,4147.23
13950,579.88,0.0416,3576.98,4156.86
13951,580.67,0.0416,3581.53,4162.19
13952,581.43,0.0417,3585.95,4167.39
13953,582.19,0.0417,3590.30,4172.48
13954,583.56,0.0418,3598.49,4182.05
13955,584.32,0.0419,3602.88,4187.20
13956,585.11,0.0419,3607.40,4192.50
13957,585.86,0.0420,3611.72,4197.57
13958,587.24,0.0421,3619.94,4207.17
13959,588.04,0.0421,3624.56,4212.59
13960,588.80,0.0422,3628.97,4217.77
13961,589.55,0.0422,3633.27,4222.82
13962,590.92,0.0423,3641.45,4232.38
13963,591.69,0.0424,3645.89,4237.59
13964,592.46,0.0424,3650.31,4242.77
13965,593.21,0.0425,3654.65,4247.86
13966,594.62,0.0426,3663.00,4257.62
13967,595.39,0.0426,3667.42,4262.80
13968,596.16,0.0427,3671.87,4268.02
13969,596.89,0.0427,3676.09,4272.99
13970,598.26,0.0428,3684.23,4282.50
13971,599.05,0.0429,3688.76,4287.81
13972,599.81,0.0429,3693.13,4292.94
13973,601.16,0.0430,3701.11,4302.27
13974,601.92,0.0431,3705.50,4307.42
13975,602.69,0.0431,3709.92,4312.61
13976,603.45,0.0432,3714.32,4317.77
13977,604.82,0.0433,3722.42,4327.24
13978,605.57,0.0433,3726.77,4332.34
13979,606.34,0.0434,3731.17,4337.51
13980,607.10,0.0434,3735.54,4342.64
13981,608.48,0.0435,3743.74,4352.23
13982,609.26,0.0436,3748.23,4357.49
13983,610.06,0.0436,3752.80,4362.85
13984,610.83,0.0437,3757.22,4368.04
13985,612.20,0.0438,3765.36,4377.56
13986,613.00,0.0438,3769.94,4382.94
13987,613.76,0.0439,3774.29,4388.04
13988,614.52,0.0439,3778.65,4393.16
13989,615.88,0.0440,3786.70,4402.57
13990,616.63,0.0441,3791.02,4407.65
13991,617.40,0.0441,3795.41,4412.81
13992,618.17,0.0442,3799.88,4418.05
13993,619.56,0.0443,3808.11,4427.67
13994,620.32,0.0443,3812.41,4432.73
13995,621.08,0.0444,3816.76,4437.84
13996,621.83,0.0444,3821.06,4442.88
13997,623.25,0.0445,3829.49,4452.74
13998,624.00,0.0446,3833.81,4457.81
13999,624.77,0.0446,3838.17,4462.93
14000,625.53,0.0447,3842.56,4468.09
14001,626.94,0.0448,3850.89,4477.83
14002,627.70,0.0448,3855.20,4482.90
14003,628.45,0.0449,3859.54,4488.00
14004,629.20,0.0449,3863.80,4493.00
14005,630.61,0.0450,3872.12,4502.73
14006,631.38,0.0451,3876.55,4507.93
14007,632.14,0.0451,3880.89,4513.03
14008,632.87,0.0452,3885.07,4517.95
14009,634.27,0.0453,3893.33,4527.60
